buyer_income_lpa,house_price_lakh,loan_eligibility,credit_score,down_payment_percent,existing_emi_lpa,employment_years,dependents,property_location_score,employment_type,can_buy
28.39,320.7,yes,747,17.68,5.13,25,1,7,business,yes
13.11,144.19,no,543,8.02,2.95,4,4,2,self_employed,no
8.98,62.36,yes,661,14.11,1.13,2,5,7,business,neutral
15.73,219.43,no,670,13.24,8.26,8,0,7,self_employed,no
6.5,70.76,no,740,5.87,2.22,5,1,8,self_employed,no
5.67,59.04,no,721,16.21,2.33,5,1,5,self_employed,no
61.15,459.42,yes,734,45.91,9.94,14,2,4,salaried,yes
32.51,267.62,yes,789,28.79,9.86,14,2,3,business,yes
14.15,201.4,no,601,12.67,8.72,9,1,3,self_employed,no
18.0,128.44,no,475,9.51,7.94,3,2,2,salaried,no
43.82,132.04,yes,823,50.13,10.08,24,3,10,self_employed,yes
7.23,52.49,yes,668,13.7,2.69,7,1,6,self_employed,neutral
47.41,225.71,yes,712,56.76,12.92,16,1,5,salaried,yes
43.23,113.93,yes,736,23.56,6.05,28,4,8,salaried,yes
28.34,124.84,yes,848,26.27,7.1,14,5,3,salaried,yes
6.51,126.13,no,759,13.41,1.87,8,1,8,business,no
29.14,366.91,yes,680,17.56,7.12,18,1,5,business,neutral
5.38,81.21,no,560,5.47,3.25,6,2,6,business,no
34.0,285.88,yes,772,20.16,5.7,8,0,1,business,yes
8.08,55.95,yes,689,13.41,1.54,7,2,5,business,yes
4.93,52.54,no,572,23.61,1.2,9,0,8,salaried,no
4.84,40.53,yes,627,17.76,1.12,8,1,2,business,neutral
40.67,161.6,yes,773,35.53,6.8,26,6,7,salaried,yes
26.31,199.24,yes,674,17.46,8.79,7,3,2,salaried,neutral
18.15,213.69,no,646,9.94,7.78,13,4,5,business,no
6.62,95.8,no,676,8.18,2.23,6,0,9,salaried,no
7.57,38.76,yes,701,7.09,2.13,5,5,7,business,neutral
18.95,201.08,yes,661,30.34,6.18,9,2,3,salaried,neutral
19.66,155.63,no,758,27.41,4.46,20,2,7,self_employed,neutral
80.62,329.47,yes,852,64.45,11.11,10,6,5,business,yes
7.19,64.51,yes,759,10.74,1.72,3,0,3,salaried,neutral
11.91,114.5,yes,620,14.38,3.99,1,1,7,salaried,neutral
19.09,194.03,no,675,17.39,3.29,22,2,8,self_employed,no
53.73,239.17,yes,864,47.81,13.25,15,0,1,salaried,yes
31.6,197.49,yes,599,19.48,4.62,9,5,9,salaried,neutral
14.55,135.95,no,754,36.29,3.29,16,1,8,self_employed,neutral
23.23,86.08,no,639,13.8,6.15,7,2,7,business,neutral
52.22,213.49,yes,764,43.37,9.42,16,4,7,salaried,yes
35.46,204.41,yes,705,57.18,4.36,12,0,2,salaried,yes
25.57,134.66,yes,592,32.98,4.12,18,3,5,salaried,yes
48.95,446.33,yes,683,36.1,3.89,5,3,10,business,yes
45.29,206.66,yes,808,37.75,5.21,15,1,2,salaried,yes
11.79,70.62,yes,700,33.87,1.68,9,2,5,self_employed,yes
23.83,228.6,no,775,24.22,1.9,5,2,4,salaried,no
71.34,369.15,yes,815,27.84,8.49,6,4,5,business,yes
11.56,98.61,no,688,22.73,1.18,13,1,6,salaried,no
41.06,279.37,yes,743,49.12,6.18,22,2,5,salaried,yes
25.82,146.28,no,670,28.72,4.69,12,4,9,salaried,neutral
45.71,390.39,yes,808,15.35,17.47,9,0,6,salaried,neutral
8.59,81.13,yes,503,12.27,2.66,5,0,7,self_employed,no
23.06,200.46,yes,665,15.99,1.75,10,1,6,salaried,neutral
8.36,74.15,yes,615,19.65,0.44,9,1,10,business,yes
30.06,216.89,yes,675,11.23,4.74,16,0,6,salaried,yes
46.52,191.92,yes,752,40.84,9.07,18,3,8,salaried,yes
30.19,226.16,yes,854,43.29,7.22,6,4,2,business,yes
12.53,79.08,yes,724,21.53,0.38,12,1,1,business,yes
9.94,51.44,no,752,14.88,5.59,1,1,9,salaried,no
7.7,91.39,no,593,8.52,4.73,13,2,2,salaried,no
7.84,90.65,no,677,10.2,2.03,4,4,5,self_employed,no
11.37,145.92,no,565,3.25,3.29,3,2,7,self_employed,no
65.98,303.28,yes,793,32.2,7.06,23,1,10,salaried,yes
36.79,453.17,yes,798,18.15,7.35,8,1,5,business,yes
42.32,161.51,yes,778,24.05,9.3,14,0,2,salaried,yes
18.45,82.42,no,600,8.29,6.66,3,1,8,self_employed,no
32.06,230.72,no,682,39.83,12.38,16,4,7,business,no
21.31,174.55,yes,615,15.3,4.49,12,1,2,self_employed,neutral
13.46,221.59,no,528,15.83,6.07,1,0,7,business,no
21.62,244.12,no,741,39.33,3.8,13,3,5,self_employed,neutral
20.38,176.97,yes,776,14.68,3.41,9,3,3,self_employed,neutral
8.62,121.59,yes,622,13.93,1.22,6,0,9,salaried,neutral
16.63,95.89,no,804,12.75,3.02,13,1,7,salaried,neutral
12.65,77.21,no,676,2.53,5.62,12,1,7,self_employed,no
60.88,231.43,yes,757,28.26,4.07,21,3,9,business,yes
27.28,275.27,yes,701,12.55,6.75,19,3,5,business,yes
21.14,354.47,no,502,10.99,5.85,8,2,9,self_employed,no
2.86,48.19,no,470,9.92,0.04,6,2,6,self_employed,no
18.35,86.79,no,706,19.03,3.56,10,4,3,salaried,neutral
7.66,72.43,yes,772,4.94,1.34,6,2,4,business,neutral
9.05,92.47,no,696,14.54,4.59,10,1,6,self_employed,no
54.08,233.06,yes,768,49.43,5.74,14,1,6,business,yes
20.67,125.14,yes,753,14.7,7.85,13,0,8,salaried,yes
26.03,253.88,yes,807,22.1,4.21,12,4,7,self_employed,yes
6.29,72.76,no,581,9.55,2.32,3,1,3,salaried,no
11.3,162.42,yes,847,7.79,3.04,12,2,5,salaried,neutral
8.37,67.65,no,713,8.23,4.52,5,2,1,salaried,no
12.42,172.82,no,716,2.38,2.47,6,2,5,salaried,no
58.01,796.66,yes,673,23.73,19.42,8,0,8,business,neutral
30.27,149.6,yes,796,20.34,3.83,11,3,6,salaried,yes
8.42,93.15,yes,623,2.84,2.46,5,2,3,self_employed,no
14.47,100.21,yes,775,10.55,5.99,4,3,4,self_employed,neutral
7.49,40.0,no,598,3.85,2.87,16,5,8,salaried,no
23.16,284.91,yes,835,6.63,8.12,9,0,8,self_employed,yes
7.47,90.34,no,587,7.33,1.9,3,3,6,self_employed,no
13.38,105.95,yes,727,18.86,0.98,13,0,6,business,yes
23.11,267.19,no,497,8.14,6.43,5,2,8,self_employed,no
12.64,76.8,yes,668,36.74,1.94,14,1,5,self_employed,yes
11.63,136.54,no,634,14.86,2.86,2,3,3,salaried,no
15.42,155.17,yes,694,30.69,2.53,17,2,1,self_employed,yes
18.75,52.42,no,813,24.75,5.19,11,4,2,business,yes
33.69,327.18,yes,783,25.54,10.59,15,2,8,business,yes
18.62,135.25,no,672,13.33,1.11,13,2,4,salaried,no
19.52,145.9,no,744,19.92,5.08,17,0,10,salaried,neutral
9.55,95.62,yes,719,13.86,4.75,9,3,8,salaried,neutral
22.49,249.16,yes,771,27.24,0.75,10,2,7,self_employed,yes
7.35,41.72,yes,707,16.99,1.96,2,2,6,business,yes
22.67,222.6,no,644,6.53,5.01,12,3,5,business,no
37.07,216.29,yes,784,31.5,4.64,7,5,10,salaried,yes
8.0,86.57,no,676,16.86,3.83,5,4,7,self_employed,no
34.29,202.18,yes,766,23.95,6.92,8,2,3,business,yes
14.91,202.78,no,619,12.1,6.6,11,4,3,business,no
4.91,76.08,no,562,13.9,0.0,13,6,7,self_employed,no
6.94,81.48,no,685,14.43,0.99,12,1,6,self_employed,no
25.23,157.55,yes,576,24.56,6.61,12,2,1,salaried,neutral
22.9,129.83,no,723,12.33,7.71,17,1,4,salaried,neutral
30.11,78.15,yes,673,20.04,9.29,14,1,9,salaried,yes
60.23,296.15,yes,783,34.93,18.98,4,2,6,salaried,yes
27.05,286.4,yes,630,16.86,11.47,7,1,9,self_employed,no
11.17,47.82,no,692,21.0,2.51,14,0,2,salaried,neutral
63.92,365.09,yes,821,48.22,14.88,8,4,5,salaried,yes
16.03,177.08,no,692,4.34,8.78,7,4,4,business,no
14.74,154.06,yes,634,5.93,6.43,6,6,3,self_employed,no
11.37,73.29,yes,716,17.84,2.65,9,0,8,salaried,yes
7.63,77.91,yes,746,14.51,1.06,8,1,6,salaried,neutral
78.57,378.38,yes,821,50.21,16.43,26,3,8,salaried,yes
15.39,87.01,no,754,19.33,3.75,22,2,6,salaried,neutral
14.14,159.09,no,725,4.5,4.93,7,2,9,self_employed,no
8.36,96.45,no,654,13.75,3.99,9,3,5,salaried,no
19.7,107.65,no,534,3.02,3.94,11,3,2,salaried,no
11.84,61.29,yes,641,16.35,4.06,5,2,6,salaried,yes
23.74,179.66,no,840,15.08,4.27,4,4,1,salaried,no
25.74,120.19,yes,793,18.71,6.71,3,3,5,salaried,yes
10.64,71.53,yes,630,11.23,1.81,8,3,8,salaried,yes
8.55,33.56,no,569,15.33,3.61,3,1,3,salaried,no
42.43,434.45,yes,812,53.16,14.81,16,3,5,business,yes
20.96,85.77,no,814,20.09,5.64,6,3,4,salaried,neutral
28.49,198.87,no,669,11.6,9.61,17,5,7,business,no
34.07,251.59,yes,790,29.61,10.89,12,1,5,business,yes
20.1,151.08,yes,770,30.23,3.84,13,2,5,business,yes
23.96,142.04,no,658,17.42,7.14,5,2,9,salaried,no
33.96,294.65,yes,634,22.6,6.21,18,1,4,salaried,yes
4.23,23.87,yes,674,5.76,1.89,3,5,9,salaried,no
53.54,273.08,yes,780,22.02,3.33,16,3,7,salaried,yes
21.17,181.1,yes,661,6.34,8.83,15,1,1,self_employed,no
7.83,101.99,no,664,5.75,1.89,5,0,8,self_employed,no
51.91,204.84,yes,850,40.08,5.94,9,3,3,salaried,yes
8.45,85.21,yes,630,5.67,3.01,9,1,8,business,neutral
7.0,40.89,yes,616,14.16,2.37,6,3,7,salaried,neutral
26.72,297.71,yes,639,24.78,6.58,10,2,8,business,yes
5.75,78.08,no,713,15.17,0.91,3,3,9,self_employed,no
6.08,76.64,yes,788,6.0,1.73,11,0,9,salaried,neutral
7.82,50.29,yes,701,10.46,1.44,3,3,6,self_employed,neutral
33.14,123.54,yes,632,17.97,11.58,2,2,8,salaried,yes
20.08,156.24,no,697,17.97,6.64,14,3,6,business,no
20.67,261.13,no,562,3.29,8.68,4,3,8,self_employed,no
19.1,182.09,yes,710,16.1,2.47,21,1,6,self_employed,neutral
7.99,65.03,no,609,14.37,2.92,4,2,8,salaried,no
7.77,76.0,no,817,5.32,1.51,11,0,4,salaried,no
52.89,181.45,yes,786,22.36,13.64,19,5,2,business,yes
7.41,78.0,yes,717,13.26,2.11,8,6,8,salaried,neutral
27.92,312.43,yes,646,32.41,11.3,7,3,1,salaried,neutral
15.13,177.52,yes,674,24.58,2.68,14,4,7,self_employed,neutral
46.8,290.6,no,809,21.85,2.34,15,2,7,salaried,neutral
29.23,177.21,yes,590,26.08,6.92,6,2,7,salaried,neutral
11.11,129.25,yes,807,7.91,5.48,4,4,4,self_employed,no
38.58,321.73,yes,692,12.41,8.19,16,2,7,self_employed,neutral
12.65,171.47,yes,630,14.92,4.69,6,4,2,self_employed,no
33.45,151.59,no,729,24.05,4.44,4,3,6,self_employed,neutral
25.15,216.61,no,642,17.95,8.57,6,1,9,salaried,no
20.6,165.44,yes,793,12.81,4.49,17,1,6,salaried,yes
12.01,80.11,no,531,17.56,0.79,6,6,1,self_employed,no
63.02,167.13,yes,803,29.9,5.37,19,1,6,salaried,yes
4.76,53.54,yes,629,13.18,1.31,10,1,5,salaried,neutral
26.04,498.69,no,519,19.03,8.58,3,3,4,salaried,no
45.79,213.96,yes,800,24.73,8.11,14,5,10,business,yes
18.43,293.17,no,681,4.69,8.43,2,4,4,salaried,no
9.71,46.21,no,726,28.63,2.2,13,2,4,salaried,yes
12.14,135.81,yes,678,9.82,1.68,7,4,8,business,neutral
13.76,153.93,no,642,7.84,5.8,15,2,4,self_employed,no
3.67,62.04,yes,685,2.05,0.78,3,2,3,self_employed,no
13.52,102.59,yes,698,5.77,8.22,5,6,6,salaried,no
33.12,255.03,no,693,29.28,4.71,4,1,5,salaried,no
19.75,204.74,yes,684,8.31,5.29,11,4,4,business,neutral
7.6,68.15,yes,644,12.96,2.95,9,2,6,business,neutral
26.34,270.22,yes,680,18.46,7.47,5,0,10,self_employed,neutral
12.13,193.07,yes,691,10.25,2.61,7,1,6,business,neutral
33.09,226.79,no,756,21.31,9.28,16,2,1,self_employed,no
17.61,302.01,yes,484,14.89,5.97,6,2,5,self_employed,no
76.55,298.54,yes,767,30.86,17.32,19,1,1,salaried,yes
8.81,147.84,yes,817,23.58,2.25,3,3,8,salaried,neutral
63.13,612.37,no,695,47.61,7.51,10,2,9,salaried,neutral
12.62,191.45,no,559,16.78,3.24,1,1,7,business,no
5.69,80.21,yes,740,9.89,0.52,4,4,9,salaried,neutral
27.11,126.39,yes,777,35.22,4.0,13,1,9,salaried,yes
6.74,79.53,no,690,8.58,2.67,6,4,6,self_employed,no
15.19,92.41,yes,470,12.51,4.59,3,2,7,salaried,neutral
10.99,185.42,yes,741,18.78,1.87,4,0,1,salaried,no
2.83,20.0,yes,742,9.35,1.19,5,3,5,self_employed,neutral
3.57,25.13,no,613,4.96,1.87,13,2,4,salaried,no
18.26,137.19,yes,638,13.29,4.28,7,1,9,business,neutral
37.49,340.38,yes,654,32.72,7.31,12,1,9,self_employed,yes
58.23,174.05,yes,703,44.99,6.82,12,1,4,business,yes
27.65,164.68,no,689,24.69,2.27,8,2,1,salaried,no
23.54,123.77,no,674,18.46,4.46,16,3,5,self_employed,neutral
24.52,166.28,yes,670,7.29,4.64,8,0,2,salaried,neutral
15.81,127.75,yes,703,29.54,6.81,15,5,9,salaried,yes
14.06,74.84,yes,736,18.44,5.81,3,5,7,salaried,neutral
24.75,124.16,no,649,25.34,4.28,5,0,2,salaried,neutral
66.41,584.26,yes,804,51.21,19.33,10,2,7,business,yes
19.0,159.75,no,726,36.03,4.27,8,3,3,salaried,no
31.42,279.33,yes,662,12.0,7.26,13,4,7,self_employed,neutral
6.42,104.51,no,577,7.67,2.3,6,6,5,salaried,no
11.65,54.76,no,703,26.25,2.61,19,1,3,business,neutral
27.55,238.4,yes,776,18.3,6.53,21,0,5,self_employed,yes
18.51,106.5,yes,782,24.06,6.18,20,3,8,self_employed,yes
25.33,240.31,yes,746,19.32,7.95,18,5,6,business,neutral
29.15,166.98,yes,746,38.24,1.58,20,4,5,salaried,yes
9.28,98.98,yes,671,21.93,3.27,2,1,3,salaried,neutral
20.4,108.16,yes,636,21.39,6.87,11,0,2,self_employed,yes
15.0,228.53,no,480,8.82,3.55,6,2,6,salaried,no
16.05,99.38,no,722,14.08,4.87,23,2,8,self_employed,no
48.63,248.44,yes,826,26.06,4.8,17,4,9,business,yes
22.06,189.19,yes,608,30.7,7.1,16,0,9,business,neutral
11.97,104.87,yes,738,14.14,3.67,13,4,2,salaried,neutral
22.48,149.28,yes,669,29.01,8.25,17,5,9,salaried,yes
7.41,50.34,no,684,5.54,3.37,14,3,8,salaried,no
10.71,180.88,yes,715,13.62,3.82,8,3,7,salaried,neutral
14.17,140.91,no,711,4.01,8.2,14,1,6,self_employed,no
8.0,60.33,no,767,10.36,2.39,6,2,8,business,no
8.95,54.77,yes,668,10.87,1.88,7,6,1,self_employed,neutral
7.77,118.41,no,726,15.05,3.8,4,2,9,salaried,no
25.45,197.84,yes,709,26.55,9.36,20,2,9,business,yes
10.91,368.68,no,658,5.06,6.23,2,5,8,salaried,no
81.98,348.8,no,778,28.6,8.66,12,1,1,salaried,yes
15.05,75.72,yes,718,12.13,3.9,9,2,1,self_employed,yes
18.7,96.31,yes,736,35.36,6.2,9,0,7,salaried,yes
11.49,138.63,no,762,15.26,3.37,5,2,7,self_employed,no
34.51,234.62,yes,665,16.66,9.18,2,0,3,self_employed,neutral
14.54,163.83,no,585,15.69,6.75,8,4,1,salaried,no
18.14,130.68,no,642,19.37,3.22,9,2,10,salaried,no
8.66,49.7,yes,886,19.48,3.85,2,1,9,salaried,yes
41.89,112.09,yes,848,58.63,0.37,15,2,9,salaried,yes
21.49,74.29,yes,607,21.8,6.82,3,3,2,business,neutral
24.31,232.46,yes,659,12.55,9.27,11,2,8,salaried,neutral
24.73,103.1,yes,721,19.96,6.34,8,2,5,salaried,yes
23.62,237.62,yes,700,18.66,8.9,16,3,7,salaried,yes
12.87,89.29,no,603,23.69,1.45,14,3,8,salaried,no
19.52,159.48,yes,779,27.3,3.63,10,3,3,business,yes
20.39,172.78,yes,705,19.92,5.25,9,5,9,salaried,neutral
13.82,92.31,no,563,9.54,7.94,15,2,2,self_employed,no
8.84,33.99,yes,556,11.51,1.57,10,2,4,salaried,neutral
16.99,82.33,yes,728,10.58,3.09,9,5,5,self_employed,neutral
18.69,127.66,yes,813,32.18,2.59,10,3,6,salaried,yes
19.41,163.51,yes,634,17.25,5.22,8,6,9,salaried,neutral
9.92,65.39,no,574,14.11,2.38,9,0,8,business,no
4.62,20.0,no,644,19.19,1.51,11,3,3,salaried,neutral
8.9,59.77,yes,763,10.65,2.98,7,2,5,salaried,yes
17.28,155.54,yes,672,7.04,6.75,11,3,3,self_employed,no
21.95,108.97,yes,585,11.13,4.46,8,4,4,self_employed,neutral
36.58,219.15,no,672,21.14,12.75,6,1,7,business,no
9.59,94.07,no,679,14.99,4.84,1,1,5,salaried,no
26.58,130.44,yes,766,20.37,0.91,9,4,6,salaried,yes
25.28,132.07,yes,730,37.25,2.21,14,4,8,business,yes
70.91,229.75,yes,776,27.14,16.72,21,2,1,business,yes
4.62,57.11,yes,671,8.24,1.05,9,3,1,business,neutral
73.65,290.36,yes,790,30.55,3.96,14,4,8,business,yes
32.89,381.03,yes,633,20.42,6.4,16,0,10,salaried,yes
30.82,294.51,yes,668,14.12,12.42,9,3,7,salaried,no
30.44,249.0,no,656,13.81,3.06,10,2,2,salaried,no
8.71,68.19,yes,750,11.24,2.64,2,1,2,business,neutral
55.2,700.76,yes,815,50.53,13.72,6,1,3,business,yes
16.47,106.74,yes,614,33.52,5.88,22,2,9,business,yes
9.12,81.29,yes,524,14.84,3.06,2,3,8,self_employed,no
32.05,200.25,no,649,22.5,10.44,17,3,8,salaried,neutral
58.57,804.48,yes,647,27.79,8.22,6,4,8,business,neutral
6.9,63.7,no,704,14.65,2.74,7,0,9,self_employed,no
29.91,207.35,no,727,33.61,0.93,10,1,9,business,neutral
8.31,101.82,yes,567,11.71,1.5,12,5,9,salaried,neutral
13.21,151.87,no,742,13.31,6.01,3,0,3,salaried,no
12.56,160.05,no,652,5.42,3.62,3,1,4,salaried,no
18.27,178.81,yes,610,9.7,3.44,9,3,2,self_employed,neutral
10.84,127.71,no,755,11.58,3.49,7,4,7,salaried,no
14.74,57.95,no,691,27.98,3.46,7,2,8,salaried,neutral
9.05,73.53,no,675,13.94,0.92,6,0,6,business,no
55.14,302.09,yes,808,17.55,7.29,8,5,8,salaried,yes
9.18,163.59,no,604,7.47,3.51,3,2,7,salaried,no
87.67,362.01,yes,737,33.01,4.29,12,2,7,salaried,yes
6.86,57.61,no,592,8.5,2.32,4,0,6,salaried,no
34.77,112.42,yes,794,46.36,6.6,23,4,9,business,yes
16.98,68.87,no,707,25.16,4.12,9,2,10,salaried,neutral
6.93,96.8,yes,704,12.07,1.78,10,0,9,self_employed,neutral
31.05,204.31,yes,760,19.43,7.21,22,3,9,self_employed,yes
7.94,61.92,yes,645,21.21,3.68,8,1,3,business,neutral
3.22,20.3,no,675,5.29,0.47,6,1,3,self_employed,no
47.1,242.72,yes,806,36.27,6.88,11,0,4,salaried,yes
16.88,136.35,no,626,9.93,4.94,12,0,9,salaried,no
6.05,43.53,yes,761,15.31,0.51,5,4,1,business,yes
29.48,419.89,no,757,58.2,10.69,11,2,5,business,no
39.03,292.64,yes,877,31.52,3.85,14,1,8,self_employed,yes
33.6,206.77,yes,772,33.41,1.66,10,3,5,salaried,yes
6.69,40.43,yes,562,17.29,1.55,3,2,5,salaried,neutral
31.6,128.96,no,735,25.18,8.68,10,4,8,business,neutral
6.26,56.53,no,636,12.69,2.31,5,5,8,salaried,no
17.9,131.15,yes,786,11.4,3.43,22,6,7,business,yes
13.76,139.28,yes,537,16.72,4.84,1,0,4,business,no
25.07,250.29,yes,788,19.46,9.86,11,3,9,salaried,neutral
22.84,225.25,no,665,7.73,3.42,6,5,6,self_employed,no
17.13,104.87,yes,691,35.07,4.97,17,1,5,business,yes
30.37,144.83,yes,805,29.21,6.62,10,0,7,salaried,yes
7.71,91.57,no,657,15.77,2.76,12,2,8,self_employed,no
26.3,388.65,no,596,19.4,17.1,7,1,7,self_employed,no
24.11,183.05,no,681,40.7,8.12,8,2,2,business,no
12.76,94.44,yes,557,16.45,3.9,10,3,8,self_employed,neutral
6.59,84.71,yes,688,17.18,2.41,6,2,5,salaried,neutral
6.88,41.01,no,591,12.77,2.3,12,1,7,business,no
40.66,180.09,yes,763,25.68,5.38,13,4,6,business,yes
66.67,321.28,yes,721,37.09,20.21,23,0,9,salaried,yes
10.36,118.33,no,575,4.61,2.27,10,1,8,self_employed,no
70.69,244.04,yes,782,42.43,8.6,12,0,7,salaried,yes
67.36,587.33,yes,721,20.78,13.76,7,5,2,business,neutral
37.98,260.91,yes,859,39.73,8.71,11,3,9,salaried,yes
69.79,301.47,yes,804,40.51,13.98,30,2,7,business,yes
47.9,191.4,yes,723,19.41,13.67,18,0,8,salaried,yes
6.17,66.89,yes,769,14.42,1.47,6,2,2,salaried,yes
26.54,81.19,yes,789,49.71,1.38,15,0,8,salaried,yes
39.63,295.34,no,757,55.72,9.62,8,5,7,salaried,neutral
12.96,82.13,yes,611,19.13,1.64,3,1,8,salaried,neutral
51.21,234.94,no,721,41.13,8.14,4,2,3,self_employed,neutral
11.63,53.55,no,808,11.98,2.56,5,1,7,salaried,neutral
5.64,127.36,no,675,19.96,2.46,6,2,8,business,no
4.18,59.42,no,578,21.03,1.45,12,1,4,salaried,no
6.54,71.42,yes,697,11.22,2.48,7,1,5,business,neutral
16.99,152.96,no,631,13.59,5.01,9,4,2,self_employed,no
28.11,304.75,yes,810,34.37,8.0,5,3,8,business,yes
14.87,139.01,yes,808,9.82,5.68,8,2,4,self_employed,neutral
21.19,112.31,no,682,25.67,7.75,4,5,7,salaried,no
19.89,172.01,yes,698,19.84,4.98,13,4,1,self_employed,neutral
7.44,73.96,yes,720,10.31,2.19,9,2,7,self_employed,neutral
10.02,92.37,yes,627,13.44,2.55,6,2,10,self_employed,neutral
19.23,129.38,yes,654,27.97,6.37,24,5,5,self_employed,neutral
16.06,115.99,yes,805,32.08,6.69,15,1,9,business,yes
34.23,458.37,yes,654,20.71,11.2,16,4,8,business,neutral
52.43,338.88,yes,630,30.59,22.04,9,1,6,salaried,neutral
38.87,337.26,yes,788,16.47,9.13,15,3,6,business,yes
28.32,106.59,yes,776,27.77,1.74,18,2,5,salaried,yes
5.88,60.58,no,636,10.75,1.78,5,6,6,self_employed,no
23.63,110.3,no,712,20.49,3.03,13,2,6,salaried,neutral
24.02,232.72,yes,650,21.13,7.04,17,3,6,salaried,neutral
8.83,75.11,yes,729,12.11,2.71,6,1,9,self_employed,neutral
9.81,60.55,yes,714,15.88,3.24,3,0,3,self_employed,neutral
9.49,75.33,no,519,16.73,2.06,3,4,4,self_employed,no
49.5,262.3,yes,736,22.0,2.72,24,5,8,business,yes
76.59,540.32,yes,678,20.17,14.68,13,4,4,self_employed,neutral
16.61,194.58,no,585,14.33,3.99,14,0,6,self_employed,no
7.98,59.98,no,679,8.79,3.36,4,3,7,business,no
8.89,116.37,no,684,16.49,2.7,7,5,6,salaried,no
23.22,82.79,yes,565,20.54,6.42,14,2,4,salaried,yes
102.38,748.45,yes,771,40.26,27.22,8,0,2,self_employed,yes
9.09,84.09,no,706,10.85,4.41,12,5,4,salaried,no
27.22,240.89,yes,831,25.86,11.94,8,1,7,self_employed,yes
6.08,33.97,yes,628,10.76,1.78,7,1,6,self_employed,neutral
18.71,159.26,no,565,7.03,5.95,6,1,10,salaried,no
9.75,92.92,yes,743,17.98,2.08,3,4,2,salaried,neutral
9.54,124.03,yes,705,9.02,2.57,8,3,6,self_employed,no
4.97,59.78,yes,588,20.65,0.45,6,2,8,business,neutral
23.07,185.84,no,725,24.49,9.33,9,2,7,salaried,no
5.67,24.32,no,731,18.63,1.34,6,1,9,salaried,neutral
7.68,72.22,yes,556,12.67,2.28,6,0,7,salaried,neutral
67.7,308.97,yes,807,49.15,9.07,11,2,9,salaried,yes
58.35,479.17,yes,631,25.53,15.29,12,1,2,self_employed,neutral
39.91,237.48,yes,780,43.73,2.51,14,0,5,salaried,yes
39.7,155.82,yes,749,32.23,2.64,12,5,4,self_employed,yes
3.35,37.47,no,670,20.19,0.65,8,1,6,self_employed,no
43.56,339.32,no,694,27.13,9.31,17,1,6,business,no
15.64,94.08,yes,612,17.77,4.43,6,1,5,self_employed,neutral
10.93,66.0,no,634,18.84,2.2,8,1,5,salaried,no
32.45,369.35,yes,890,13.3,12.39,12,1,1,self_employed,neutral
51.84,284.51,yes,782,36.79,0.5,8,2,1,self_employed,yes
29.9,236.44,yes,686,16.27,9.29,15,1,7,business,yes
60.96,381.66,yes,769,35.73,6.72,26,0,7,salaried,yes
5.31,62.44,no,778,22.04,3.26,5,2,3,self_employed,no
20.66,104.18,yes,791,14.82,2.26,7,3,10,salaried,yes
33.98,185.32,yes,713,40.38,3.91,20,3,10,salaried,yes
8.32,127.89,yes,676,21.74,3.34,8,0,5,salaried,no
8.03,60.43,yes,687,12.23,4.16,6,0,2,salaried,neutral
57.76,303.41,yes,752,19.09,7.07,22,2,8,salaried,yes
15.0,107.28,no,586,18.26,6.31,8,0,2,business,no
67.52,160.26,yes,873,37.07,7.86,13,2,8,business,yes
12.99,234.89,no,749,7.26,5.32,3,3,3,self_employed,no
7.95,104.66,no,490,12.73,2.0,9,2,5,salaried,no
22.89,153.77,yes,855,26.55,5.71,12,3,6,business,yes
24.79,234.75,yes,800,12.71,4.99,7,1,4,salaried,yes
68.23,251.37,yes,808,46.47,16.75,12,1,7,salaried,yes
21.88,235.84,no,597,5.34,11.96,12,2,10,self_employed,no
4.88,53.78,no,587,14.39,0.83,6,2,10,self_employed,no
9.1,128.4,no,507,8.01,2.22,7,1,7,salaried,no
16.72,207.28,no,725,15.82,9.74,7,0,5,self_employed,no
9.22,150.1,no,693,6.11,3.15,5,3,6,salaried,no
63.27,838.7,yes,751,33.19,18.3,6,2,6,self_employed,neutral
14.21,101.9,yes,661,30.93,1.3,8,2,4,self_employed,yes
10.87,54.31,no,560,10.18,4.36,10,2,10,self_employed,no
6.46,42.24,yes,609,14.56,2.68,5,2,6,business,no
8.4,132.42,yes,626,5.67,2.8,10,3,6,business,no
70.23,427.24,yes,783,39.17,13.03,17,5,9,salaried,yes
41.79,153.86,yes,900,19.5,2.35,14,1,9,salaried,yes
29.88,171.83,yes,832,15.31,8.87,7,2,5,business,yes
17.97,169.21,yes,705,20.96,2.13,7,3,9,self_employed,neutral
18.14,194.72,yes,692,25.06,6.38,14,2,3,salaried,yes
20.42,91.34,yes,743,32.92,6.43,9,1,1,salaried,yes
4.42,55.28,yes,658,8.25,0.46,13,1,6,salaried,neutral
16.92,98.38,no,614,19.58,5.88,6,4,4,self_employed,no
93.83,1138.55,yes,745,23.81,34.21,15,3,5,self_employed,yes
16.22,65.33,yes,627,29.07,2.6,18,3,1,self_employed,yes
4.58,43.98,no,664,9.94,2.04,8,2,9,salaried,no
18.75,128.52,yes,685,24.31,3.68,3,6,3,salaried,neutral
6.68,84.78,no,632,15.9,0.62,6,2,3,salaried,no
8.48,84.66,no,815,18.26,2.37,4,6,2,salaried,no
24.85,243.44,no,638,26.61,7.36,6,4,5,salaried,no
